block,street_name,Address,Postal,Latitude,Longitude,mrt_count_500m,schools_within_2km,top25_schools_within_2km,nearby_top25_schools,distance_to_cbd
415A,FERNVALE LINK,415A FERNVALE LINK FERNVALE RIVERBOW SINGAPORE 791415,791415,1.3890450841015,103.879415312113,2,12,2,"Nan Chiau Primary School, Rosyth School",12073.396621790303
416A,FERNVALE LINK,416A FERNVALE LINK FERNVALE RIVERBOW SINGAPORE 791416,791416,1.3906119627657,103.879963560438,2,10,1,Nan Chiau Primary School,12257.450476232605
415C,FERNVALE LINK,415C FERNVALE LINK FERNVALE RIVERBOW SINGAPORE 793415,793415,1.38931984965925,103.88050116533,1,13,2,"Nan Chiau Primary School, Rosyth School",12134.47999915982
472C,FERNVALE ST,472C FERNVALE STREET FERNVALE RIVERGROVE SINGAPORE 793472,793472,1.39631552198212,103.881167314758,2,8,1,Nan Chiau Primary School,12904.73720519857
469B,SENGKANG WEST WAY,469B SENGKANG WEST WAY FERNVALE LEA SINGAPORE 792469,792469,1.39585256390138,103.877684905205,4,7,1,Nan Chiau Primary School,12761.006179016118
494D,TAMPINES ST 43,494D TAMPINES STREET 43 TAMPINES ALCOVES SINGAPORE 524494,524494,1.36380015761494,103.953438683803,0,13,0,,14387.911315591311
504C,YISHUN ST 51,504C YISHUN STREET 51 ACACIA BREEZE @ YISHUN SINGAPORE 763504,763504,1.41796651351006,103.843458679904,0,7,0,,14908.9666329028
504B,YISHUN ST 51,504B YISHUN STREET 51 ACACIA BREEZE @ YISHUN SINGAPORE 762504,762504,1.41773318073336,103.84382441362,0,7,0,,14880.693913703491
807B,CHAI CHEE RD,807B CHAI CHEE ROAD PING YI GREENS SINGAPORE 462807,462807,1.32750585189984,103.923264046182,0,9,1,Red Swastika School,9326.722913484224
489C,CHOA CHU KANG AVE 5,489C CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS SINGAPORE 683489,683489,1.37605683547385,103.739806181184,0,5,0,,16079.332560267843
489A,CHOA CHU KANG AVE 5,489A CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS SINGAPORE 681489,681489,1.37560094818422,103.740360009689,0,5,0,,15999.583050301695
487C,CHOA CHU KANG AVE 5,487C CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS SINGAPORE 683487,683487,1.37651280702577,103.739137682367,0,5,0,,16168.929739694267
665C,PUNGGOL DR,665C PUNGGOL DRIVE WATERWAY WOODCRESS SINGAPORE 823665,823665,1.40149164608042,103.914459128885,2,10,0,,14811.000637882182
308B,PUNGGOL WALK,308B PUNGGOL WALK PCF SPARKLETOTS PRESCHOOL @ PUNGGOL WEST 308B (DS) SINGAPORE 822308,822308,1.40776678175669,103.89887868051,4,12,1,Nan Chiau Primary School,14724.28015823213
308C,PUNGGOL WALK,308C PUNGGOL WALK WATERWAY TERRACES I SINGAPORE 823308,823308,1.40800694944027,103.899074357998,4,10,0,,14757.006968206182
671A,EDGEFIELD PLAINS,671A EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 821671,821671,1.40605924173081,103.912020670376,2,10,0,,15137.922984541963
258C,PUNGGOL FIELD,258C PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 823258,823258,1.40414193190214,103.896363634267,1,12,1,Nan Chiau Primary School,14248.316211913676
468B,FERNVALE LINK,468B FERNVALE LINK FERNVALE LEA SINGAPORE 792468,792468,1.39745479369412,103.878010391039,2,6,1,Nan Chiau Primary School,12942.721355081962
490B,CHOA CHU KANG AVE 5,490B CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS SINGAPORE 682490,682490,1.37562311961725,103.741340715793,0,5,0,,15917.156716677346
489D,CHOA CHU KANG AVE 5,489D CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS SINGAPORE 684489,684489,1.3758879374176,103.740225214266,0,5,0,,16031.443809719762
490D,CHOA CHU KANG AVE 5,490D CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS SINGAPORE 684490,684490,1.37602869228672,103.741368197927,0,5,0,,15943.674406736196
308A,PUNGGOL WALK,308A PUNGGOL WALK GREENLAND CHILDCARE @ PUNGGOL PTE LTD SINGAPORE 821308,821308,1.40776143065745,103.900998963843,5,11,0,,14809.747990841184
86,DAWSON RD,86 DAWSON ROAD SKYVILLE @ DAWSON SINGAPORE 141086,141086,1.29564903068441,103.810230517871,1,5,0,,4758.788530453509
90,DAWSON RD,90 DAWSON ROAD SKYTERRACE @ DAWSON SINGAPORE 142090,142090,1.29540163896319,103.812185563953,0,6,0,,4542.185257519229
471C,FERNVALE ST,471C FERNVALE STREET FERNVALE RIVERGROVE SINGAPORE 793471,793471,1.39595291069106,103.8815041411,2,9,1,Nan Chiau Primary School,12875.426442001806
472A,FERNVALE ST,472A FERNVALE STREET FERNVALE RIVERGROVE SINGAPORE 791472,791472,1.39740224240408,103.881338084424,1,8,1,Nan Chiau Primary School,13026.414869598286
807A,CHAI CHEE RD,807A CHAI CHEE ROAD PING YI GREENS SINGAPORE 461807,461807,1.32707387863852,103.923188202853,0,9,1,Red Swastika School,9294.737943874801
488B,CHOA CHU KANG AVE 5,488B CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS SINGAPORE 682488,682488,1.3769739817533,103.739293156619,0,6,0,,16188.242445689524
488C,CHOA CHU KANG AVE 5,488C CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS SINGAPORE 683488,683488,1.37659678332207,103.73994960705,0,6,0,,16105.292908174157
671B,EDGEFIELD PLAINS,671B EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 822671,822671,1.40619118291017,103.911699311071,2,10,0,,15135.224419249314
469C,SENGKANG WEST WAY,469C SENGKANG WEST WAY FERNVALE LEA SINGAPORE 793469,793469,1.39632353747039,103.877422028405,2,6,1,Nan Chiau Primary School,12805.377881431352
